time,lux
0.017,5.59
0.116,5.59
0.215,5.59
0.315,5.59
0.415,5.59
0.515,5.59
0.615,5.59
0.715,5.59
0.816,5.59
0.915,5.59
1.016,5.59
1.127,5.59
1.228,5.59
1.328,5.59
1.423,5.59
1.519,5.59
1.628,5.59
1.727,5.59
1.827,5.59
1.927,5.59
2.027,5.59
2.127,5.59
2.227,5.59
2.327,5.50
2.426,5.27
2.526,5.27
2.622,5.27
2.723,5.50
2.822,5.27
2.922,5.27
3.022,5.50
3.122,5.59
3.223,5.59
3.324,5.50
3.421,5.59
3.517,5.59
3.623,5.59
3.712,5.50
3.823,5.59
3.922,5.50
4.021,5.59
4.126,5.50
4.227,5.27
4.320,5.27
4.423,5.36
4.526,5.36
4.619,5.36
4.722,5.27
4.822,4.83
4.917,5.05
5.023,4.83
5.121,4.42
5.222,4.22
5.320,4.14
5.422,4.14
5.521,4.22
5.616,3.95
5.721,4.02
5.821,4.02
5.922,4.02
6.022,3.95
6.121,4.02
6.221,4.22
6.326,5.67
6.423,7.44
6.524,8.57
6.625,14.88
6.722,21.24
6.820,19.15
6.921,19.15
7.023,17.59
7.121,17.59
7.223,17.59
7.322,50.63
7.423,36.61
7.513,17.90
7.623,21.18
7.715,20.04
7.822,16.72
7.921,17.90
8.022,16.90
8.121,16.41
8.222,16.41
8.323,15.93
8.421,15.93
8.522,16.41
8.622,17.39
8.723,17.39
8.820,17.39
8.915,17.39
9.022,17.39
9.122,17.39
9.216,17.39
9.322,17.39
9.420,17.39
9.523,17.39
9.623,17.90
9.722,17.90
9.814,17.90
9.923,17.90
10.023,17.90
10.122,17.90
10.222,18.96
10.320,15.93
10.423,15.93
10.513,15.93
10.623,15.93
10.722,16.41
10.822,28.14
10.917,55.94
11.021,44.80
11.122,51.39
11.220,48.35
11.322,44.11
11.421,53.11
11.521,59.75
11.620,58.17
11.721,55.92
11.820,90.21
11.922,107.85
12.015,109.58
12.119,97.99
12.211,114.80
12.321,107.85
12.421,157.00
12.522,188.72
12.620,195.23
12.722,188.72
12.821,171.97
12.921,187.77
13.018,185.30
13.121,215.40
13.222,197.79
13.322,219.84
13.421,215.11
13.525,185.48
13.625,179.58
13.726,233.83
13.826,207.15
13.925,201.37
14.025,258.44
14.126,260.79
14.225,229.31
14.327,270.93
14.427,295.46
14.525,228.90
14.625,246.44
14.724,256.21
14.824,282.46
14.924,268.52
15.025,283.58
15.125,247.26
15.224,242.46
15.324,224.34
15.427,245.42
15.523,217.09
15.625,256.54
15.723,259.61
15.826,272.67
15.918,271.16
16.021,250.90
16.120,202.36
16.221,286.75
16.320,278.32
16.421,268.86
16.521,261.52
16.620,321.10
16.720,284.83
16.821,198.77
16.920,267.77
17.023,286.75
17.119,256.65
17.221,281.56
17.320,281.56
17.417,258.44
17.521,275.22
17.625,323.30
17.717,301.30
17.821,278.44
17.924,281.34
18.023,291.21
18.124,324.55
18.218,183.78
18.321,182.75
18.419,256.43
18.518,241.65
18.618,264.41
18.718,279.44
18.820,285.84
18.918,287.10
19.017,285.84
19.118,340.33
19.218,274.34
19.319,323.17
19.418,347.64
19.513,345.32
19.622,276.33
19.718,287.88
19.818,274.99
19.918,268.74
20.018,302.48
20.117,271.79
20.218,221.75
20.317,286.63
20.417,295.70
20.517,285.84
20.616,312.71
20.717,338.79
20.816,324.40
20.917,325.25
21.022,238.62
21.121,297.79
21.221,252.22
21.322,248.18
21.420,248.18
21.520,245.20
21.620,239.31
21.720,242.24
21.820,246.33
21.920,270.58
22.019,211.66
22.120,239.31
22.220,254.10
22.321,251.07
22.414,267.99
22.511,267.54
22.617,242.24
22.715,239.42
22.816,228.02
22.914,216.99
23.016,192.60
23.114,203.79
23.214,219.74
23.316,228.02
23.415,214.27
23.515,216.99
23.615,237.61
23.715,228.02
23.814,218.04
23.915,225.20
24.014,204.69
24.115,234.72
24.214,243.37
24.315,215.30
24.414,252.22
24.514,195.50
24.615,222.41
24.714,228.02
24.814,233.62
24.914,216.99
25.014,211.66
25.113,208.98
25.214,222.41
25.314,208.98
25.414,220.80
25.514,201.18
25.613,237.61
25.714,223.47
25.813,189.49
