time,lux
0.092,3.30
0.190,3.30
0.290,3.30
0.391,3.30
0.488,3.30
0.590,3.30
0.687,3.30
0.788,3.30
0.889,3.30
0.988,3.30
1.090,3.30
1.188,3.30
1.290,3.30
1.389,3.30
1.490,3.30
1.590,3.30
1.687,3.47
1.789,3.54
1.889,3.54
1.989,3.54
2.089,3.54
2.187,3.54
2.290,3.54
2.391,3.54
2.492,3.47
2.591,3.47
2.688,3.47
2.789,3.90
2.889,3.90
2.987,3.90
3.091,3.90
3.188,3.90
3.289,3.90
3.391,3.90
3.487,3.90
3.589,3.90
3.689,3.90
3.787,3.90
3.889,3.90
3.987,3.90
4.088,3.90
4.187,3.90
4.286,3.90
4.391,3.90
4.487,3.90
4.589,3.90
4.688,3.71
4.784,3.71
4.887,3.71
4.986,3.71
5.089,3.71
5.187,3.30
5.290,3.37
5.387,3.30
5.489,3.30
5.590,3.30
5.690,3.30
5.791,3.30
5.888,3.37
5.986,3.37
6.087,3.30
6.188,3.30
6.290,3.30
6.390,3.37
6.491,3.30
6.591,3.30
6.688,3.30
6.788,3.37
6.889,3.71
6.988,3.71
7.087,3.37
7.187,3.71
7.290,3.71
7.386,3.71
7.488,3.71
7.590,3.71
7.690,3.71
7.790,3.71
7.882,3.71
7.987,3.71
8.090,3.71
8.189,3.71
8.289,3.71
8.389,3.71
8.488,3.71
8.586,3.78
8.689,3.71
8.787,3.71
8.886,3.71
8.986,3.71
9.086,3.71
9.188,3.64
9.287,3.71
9.387,3.71
9.487,3.71
9.588,3.71
9.689,3.14
9.784,3.14
9.887,3.14
9.980,3.14
10.086,3.14
10.189,3.14
10.287,3.14
10.384,3.14
10.488,3.14
10.587,3.14
10.686,3.14
10.789,3.14
10.887,3.14
10.989,3.14
11.087,3.14
11.187,3.14
11.287,3.14
11.385,3.14
11.487,3.14
11.589,3.14
11.689,3.14
11.789,3.14
11.889,3.14
11.989,3.14
12.088,3.14
12.188,3.14
12.288,3.14
12.387,3.14
12.489,3.14
12.586,3.14
12.686,3.14
12.788,3.14
12.887,3.14
12.989,3.14
13.081,3.14
13.185,3.14
13.287,3.14
13.388,3.14
13.488,3.14
13.587,3.14
13.686,3.14
13.787,3.14
13.888,3.14
13.987,3.14
14.086,3.14
14.183,3.14
14.285,3.14
14.385,3.14
14.486,3.14
14.586,3.14
14.689,3.14
14.788,3.14
14.885,3.14
14.983,3.14
15.086,3.14
15.186,3.14
15.286,3.14
15.386,3.14
15.487,3.14
15.588,3.14
15.688,3.14
15.788,3.14
15.884,3.14
15.987,3.14
16.088,3.14
16.188,3.14
16.288,3.14
16.386,3.14
16.488,3.14
16.588,3.14
16.687,3.14
16.788,2.98
16.887,2.98
16.988,2.92
17.087,2.98
17.183,2.98
17.285,2.98
17.386,2.98
17.485,2.98
17.585,2.98
17.685,2.98
17.785,2.98
17.887,2.98
17.987,2.98
18.085,2.98
18.186,2.98
18.287,2.98
18.385,2.98
18.487,2.98
18.587,2.98
18.686,2.98
18.785,2.98
18.885,2.98
18.985,2.98
19.085,2.98
19.183,2.98
19.285,2.98
19.385,7.19
19.485,8.88
19.585,12.40
19.685,8.88
19.784,27.60
19.886,13.81
19.985,4.09
20.085,4.01
20.186,5.58
20.285,4.69
20.384,3.30
20.487,3.14
20.586,3.14
